artist,song,year,genre,streams_billion,duration_ms,loudness_dB;
Lil Uzi Vert,XO Tour Llif3,2017,HipHop,2.3501,182000,-3.203;
a-ha,Take on Me,1985,Pop,2.3483,225000,-7.638;
Queen,Don't Stop Me Now,1978,Rock,2.3410,209000,-5.277;
Mark Ronson,Uptown Funk,2015,Pop,2.3407,269000,-7.223;
Dua Lipa,Levitating,2020,Pop,2.3372,203000,-3.183;
Dua Lipa,New Rules,2017,Pop,2.3320,209000,-5.991;
Sam Smith,Too Good At Goodbyes,2017,Pop,2.3158,201000,-8.237;
Adele,Someone Like You,2011,Pop,2.3124,285000,-8.251;
Sam Smith,Stay With Me,2014,Pop,2.3067,172000,-6.444;
Camila Cabello,Havana,2018,Pop,2.2956,217000,-5.948;
Sabrina Carpenter,Espresso,2024,Pop,2.2916,175000,-3.929;
